City,Datetime,Temperature (°C),Feels Like (°C),Humidity (%),Pressure (hPa),Wind Speed (m/s),Condition,Description
Delhi,2026-06-25 12:00:00,41.72,41.14,18,998,0.49,Clear,clear sky
Delhi,2026-06-25 15:00:00,40.24,40.74,23,999,6.03,Clear,clear sky
Delhi,2026-06-25 18:00:00,37.89,38.93,29,1000,4.01,Clear,clear sky
Delhi,2026-06-25 21:00:00,36.1,38.01,36,1000,4.28,Clear,clear sky
Delhi,2026-06-26 00:00:00,35.04,36.43,37,1001,3.85,Clear,clear sky
Delhi,2026-06-26 03:00:00,36.63,38.99,36,1002,4.26,Clear,clear sky
Delhi,2026-06-26 06:00:00,40.67,42.22,25,1002,3.29,Clear,clear sky
Delhi,2026-06-26 09:00:00,43.32,43.94,19,999,2.89,Clear,clear sky
Delhi,2026-06-26 12:00:00,43.1,44.07,20,997,6.28,Clear,clear sky
Delhi,2026-06-26 15:00:00,38.82,39.83,27,999,3.27,Rain,light rain
Delhi,2026-06-26 18:00:00,39.57,40.37,25,999,2.94,Rain,light rain
Delhi,2026-06-26 21:00:00,38.69,39.95,28,999,4.05,Clouds,scattered clouds
Delhi,2026-06-27 00:00:00,37.44,38.8,31,1000,3.43,Clouds,scattered clouds
Delhi,2026-06-27 03:00:00,38.19,39.44,29,1001,6.79,Clear,clear sky
Delhi,2026-06-27 06:00:00,41.94,43.54,23,1000,5.71,Clear,clear sky
Delhi,2026-06-27 09:00:00,44.47,45.77,19,998,4.17,Clear,clear sky
Delhi,2026-06-27 12:00:00,43.05,44.47,21,996,6.14,Rain,light rain
Delhi,2026-06-27 15:00:00,41.59,42.95,23,997,7.35,Clouds,scattered clouds
Delhi,2026-06-27 18:00:00,38.66,40.62,30,997,5.17,Clouds,scattered clouds
Delhi,2026-06-27 21:00:00,38.19,37.64,23,997,5.97,Clouds,few clouds
Delhi,2026-06-28 00:00:00,36.81,36.17,25,998,5.53,Clouds,scattered clouds
Delhi,2026-06-28 03:00:00,36.45,36.6,29,1000,6.1,Clouds,broken clouds
Delhi,2026-06-28 06:00:00,40.55,42.02,25,999,6.22,Clouds,broken clouds
Delhi,2026-06-28 09:00:00,43.49,45.74,22,996,5.88,Clear,clear sky
Delhi,2026-06-28 12:00:00,43.26,44.82,21,995,6.46,Clear,clear sky
Delhi,2026-06-28 15:00:00,41.25,40.83,19,996,6.57,Clear,clear sky
Delhi,2026-06-28 18:00:00,39.54,38.19,18,997,5.52,Clear,clear sky
Delhi,2026-06-28 21:00:00,38.02,36.91,21,996,5.58,Clear,clear sky
Delhi,2026-06-29 00:00:00,36.02,35.49,27,997,6.28,Clear,clear sky
Delhi,2026-06-29 03:00:00,36.8,37.71,31,999,7.16,Clear,clear sky
Delhi,2026-06-29 06:00:00,40.71,41.88,24,999,5.91,Clear,clear sky
Delhi,2026-06-29 09:00:00,43.23,43.8,19,996,5.55,Clear,clear sky
Delhi,2026-06-29 12:00:00,43.04,43.06,18,995,6.09,Clear,clear sky
Delhi,2026-06-29 15:00:00,41.53,40.88,18,996,5.47,Clear,clear sky
Delhi,2026-06-29 18:00:00,39.71,38.97,20,997,5.51,Clear,clear sky
Delhi,2026-06-29 21:00:00,38.46,38.31,24,997,4.95,Rain,light rain
Delhi,2026-06-30 00:00:00,36.27,37.12,32,998,6.25,Rain,light rain
Delhi,2026-06-30 03:00:00,36.7,37.84,32,1000,6.91,Clear,clear sky
Delhi,2026-06-30 06:00:00,40.6,42.1,25,999,5.77,Clear,clear sky
Delhi,2026-06-30 09:00:00,42.8,44.06,21,996,5.43,Clear,clear sky
